pgpid,shelfmark,type,doc_date_original,doc_date_calendar,doc_date_standard
19385,Bodl. MS heb. d 65/39,Legal document,2 Adar I 1437,Seleucid,1126-01-28
19386,Bodl. MS heb. d 65/41,Legal document,10 Iyyar 1454,Seleucid,1143-04-26
19388,Bodl. MS heb. d 65/7,Legal document,14 Ḥeshvan 1849,Seleucid,1537
19389,Bodl. MS heb. d 66/1,Legal document,16 Sivan 1394,Seleucid,1083-06-05
19390,Bodl. MS heb. d 66/100,Legal document,5514,Anno Mundi,1753-09-29/1754-09-16
19397,Bodl. MS heb. d 66/114,Legal document,1541,Seleucid,1229-09-20/1230-09-08
19435,Bodl. MS heb. d 73/16,Letter,22 Av 5568,Anno Mundi,1808-08-15
19436,Bodl. MS heb. d 73/17,Letter,22 Av 5568,Anno Mundi,1808-08-15
19437,Bodl. MS heb. d 73/18,Letter,4 Tishrei 5569,Anno Mundi,1808-09-25
19438,Bodl. MS heb. d 73/19,Letter,9 Tishrei 5569,Anno Mundi,1808-09-30
19439,Bodl. MS heb. d 73/20,Letter,1 Kislev 5569,Anno Mundi,1808-11-20
19440,Bodl. MS heb. d 73/21,Letter,3 Kislev 5569,Anno Mundi,1808-11-22
19442,Bodl. MS heb. d 73/23,Letter,5 Kislev 5569,Anno Mundi,1808-11-24
19459,Bodl. MS heb. d 76/54,Legal document,Elul 1456,Seleucid,1145-08-22/1145-09-19
19460,Bodl. MS heb. d 76/55,Legal document,1398,Seleucid,1086-09-12/1087-09-01
19464,Bodl. MS heb. d 77/10 + Bodl. MS heb. d 77/11,Legal document,Middle third of Shevaṭ 1434,Seleucid,1123-01-09/1123-01-18
19476,Bodl. MS heb. e 103/13,List or table,"Friday, 4 Sivan 5258",Anno Mundi,1498-05-25
19479,Bodl. MS heb. e 105/50,Legal document,"Friday, 23 Nisan 1434",Seleucid,1123-04-20
19482,Bodl. MS heb. e 105/53 + Bodl. MS heb. e 105/54,Letter,15 Adar 5454,Anno Mundi,1694-03-12
19486,Bodl. MS heb. e 32/51,Legal document,24 Av 2044,Seleucid,1733-08-05
19534,Bodl. MS heb. e 94/15,Legal document,10 Nisan 1549,Seleucid,1238-03-27
19538,Bodl. MS heb. e 98/57,Legal document,Shevaṭ 5307,Anno Mundi,1546-12-23/1547-01-21
19562,Bodl. MS heb. f 103/38,Legal document,13 Shevat 1442,Seleucid,1131-01-13
19622,Bodl. MS heb. f 61/47,Legal document,"Monday, 5 Tammuz 1369",Seleucid,1058-06-29
19626,Bodl. MS heb. f 61/53,Legal document,Av [148]5,Seleucid,1174-07-01/1174-07-30
19628,DK AS 3,Legal document,194[.],Seleucid,1628/1638
19633,PTS MS SCQ3067,Legal document,"Monday, 18 Adar 1365",Seleucid,1054-02-28
19636,Halper 345,Legal document,Adar 1471,Seleucid,1160
19639,T-S 16.175 + Halper 353,Legal document,4757,Anno Mundi,997
19641,Halper 357,Legal document,4 Shawwāl 763,Hijrī,1362-07-27
19642,Halper 359,Legal document,954,Hijrī,1547-02-21/1548-02-10
19644,Halper 361,Legal document,[15]48,Seleucid,1236-09-02/1237-09-20
19645,Halper 362,Legal document,"Monday, 4 Av 5386",Anno Mundi,1626-07-27
19648,Halper 368 + ENA 2727.47,Legal document,Sunday 4 Tammuz 5275,Anno Mundi,1515-06-17
19649,Halper 369,Legal document,Thursday 26 Iyyar 5306,Anno Mundi,1546-04-28
19650,Halper 370,Legal document,3 Tishrei 5370,Anno Mundi,1609-10-01
19651,Halper 371,Legal document,15 Tevet 5385,Anno Mundi,1624-12-25
19652,Halper 372,Legal document,"Monday, 14 Sivan 5401",Anno Mundi,1641-05-23
19654,Halper 374,Legal document,"Friday, 19 Adar 2203",Seleucid,1892-03-18
19671,Halper 415 + Halper 416,Letter,22 Av 5595,Anno Mundi,1835-08-17
19693,Halper 471,List or table,5463,Anno Mundi,1702-09-23/1703-09-10
19695,CUL Add.3124a,Legal document,13 Nisan 1606,Seleucid,1295-03-31
19699,CUL Add.3419,Legal document,"Thursday, 18 Iyyar 1409",Seleucid,1098-04-22
19720,CUL Or.1080 15.19,Letter,5 Tammuz 5437,Anno Mundi,1677-07-05
19723,CUL Or.1080 15.45,List or table,Elul 5353,Anno Mundi,1593-08-29/1593-09-26
19749,CUL Or.1080 4.25,Legal document,Tishrei 5468,Anno Mundi,1707-09-27/1707-10-26
19752,CUL Or.1080 4.29,Legal document,1 Av 5579,Anno Mundi,1819-07-23
19753,CUL Or.1080 4.31,Legal document,19 Tishrei 5575,Anno Mundi,1814-10-03
19754,CUL Or.1080 4.32,Legal document,Elul 5589,Anno Mundi,1829-08-30/1829-09-27
19756,CUL Or.1080 4.35,Legal document,Ṭevet 5550,Anno Mundi,1789-12-18/1790-01-15
19758,CUL Or.1080 4.40,Letter,Sivan 5579,Anno Mundi,1819-05-25/1819-06-23
19765,CUL Or.1080 4.60,Letter,Iyyar 5547,Anno Mundi,1787-04-19/1787-05-17
19766,CUL Or.1080 4.61,Legal document,777,Hijrī,1375-06-02/1376-05-20
19775,CUL Or.1080 8.6,Legal document,5601,Anno Mundi,1840-09-28/1841-09-15
19777,CUL Or.1080 9.20,Legal document,14 Nisan 5542,Anno Mundi,1782-03-29
19789,CUL Or.1080 J162,Legal document,"Wednesday, 25 Adar I 1453",Seleucid,1142-02-22
19791,CUL Or.1080 J164,Legal document,Sivan 5524,Anno Mundi,1764-06-01/1764-06-30
19792,CUL Or.1080 J165,Legal document,Kislev 5520,Anno Mundi,1759-11-21/1759-12-20
19798,CUL Or.1080 J205,Legal document,1462,Seleucid,1150-09-23/1151-09-12
19800,CUL Or.1080 J209,Letter,Ḥeshvan 5358,Anno Mundi,1597-10-13/1597-11-10
19844,CUL Or.1081 1.71,Legal document,[474]9,Anno Mundi,0988-09-15/0989-09-02
19845,CUL Or.1081 1.73,State document,30 Muḥarram 1240,Hijrī,1824-09-24
19846,AIU VII.F.9 + AIU VII.F.12 + AIU VII.F.88 + JRL SERIES B 2003 + JRL SERIES B 3546 + CUL Or.1081 2.16,List or table,5559,Anno Mundi,1798-09-11/1799-09-29
19847,CUL Or.1081 2.17,Legal document,"Friday, 20 Sivan 1600",Seleucid,1289-06-10
19851,CUL Or.1081 2.25,Legal document,"Tuesday, 8 Rajab 657",Hijrī,1259-07-01
19853,CUL Or.1081 2.32,Legal document,3 Nisan 5558,Anno Mundi,1798-03-20
19863,CUL Or.1081 2.45,Legal document,Av 5556,Anno Mundi,1796-08-05/1796-09-03
19864,CUL Or.1081 2.46,Letter,20 Shevat 5567,Anno Mundi,1807-01-29
19866,CUL Or.1081 2.55,Legal document,20 Iyyar 5482,Anno Mundi,1722-05-07
19867,CUL Or.1081 2.56,Legal document,17 Adar II 5570,Anno Mundi,1810-03-23
19869,CUL Or.1081 2.58,Legal document,Heshvan 5578,Anno Mundi,1817-10-11/1817-11-09
19892,T-S 10K15.1,Legal document,1487,Seleucid,1175-09-18/1176-09-05
19902,T-S 12.132,Legal document,2 Tishrei 4974,Anno Mundi,1213-09-17
19907,T-S 12.152,Legal document,9 Tammuz 1602,Seleucid,1291-06-08
19913,T-S 12.173,Legal document,18 Shaʿbān 421,Hijrī,1030-08-21
19957,T-S 12.385,Letter,Tammuz 1466,Seleucid,1155-06-03/1155-07-01
19963,T-S 12.406,Legal document,"Thursday, 25 Ḥeshvan 1628",Seleucid,1316-11-11
19975,T-S 12.437,Legal document,"Sunday, 10 Kislev 5583 AM",Anno Mundi,1822-11-24
19978,T-S 12.447,Legal document,29 Adar 5571,Anno Mundi,1811-03-25
19996,T-S 12.506,Legal document,middle decade of Tammuz 1461,Seleucid,1150-07-07/1150-07-16
19998,T-S 12.509,Legal document,Kislev 1[4]14,Seleucid,1102-11-14/1102-12-13
20001,T-S 12.517,Legal document,Tammuz 1320,Seleucid,1009-06-26/1009-07-24
20008,T-S 12.546,Legal document,Sivan 5495,Anno Mundi,1735-05-22/1735-06-20
20010,T-S 12.550,Legal document,4890,Anno Mundi,1129-09-16/1130-09-05
20018,T-S 12.569,Legal document,Tishrei 1465,Seleucid,1153-09-21/1153-10-20
20022,T-S 12.588,Legal document,7 Av 1559,Seleucid,1248-07-28
20023,T-S 12.589,Legal document,2 Elul 5319,Anno Mundi,1559-08-05
20027,T-S 12.596,Legal document,21 Iyyar 5372,Anno Mundi,1612-05-23
20030,T-S 12.602,Legal document,1514,Seleucid,1202-09-19/1203-09-07
20031,T-S 12.603,Legal document,1554,Seleucid,1242/1243
20037,T-S 12.623,Legal document,Adar I 1543,Seleucid,1232-01-24/1232-02-22
20061,T-S 12.702,Legal document,1341,Seleucid,1029/1030
20062,T-S 12.703,Letter,Elul [4]893,Anno Mundi,1133-08-04/1133-09-01
20070,T-S 12.718,Legal document,"Sunday, 1 Sivan 1539",Seleucid,1228
20076,T-S 12.779,Legal document,"Monday, 3 Iyyar 1407",Seleucid,1096-04-28
20077,DK 416 + T-S 12.783,Legal document,1459–62,Seleucid,1147-08-28/1151-09-12
20085,T-S 12.872,Legal document,13 Tishrei 1510,Seleucid,1198-10-15
20096,T-S 20.144,List or table,603,Hijrī,1206-08-08/1207-07-27
20097,T-S 20.161,Legal document,3 Tishrei 5293,Anno Mundi,1532-09-02
20098,T-S 20.164,Legal document,5428,Anno Mundi,1667-09-19/1668-09-05
20101,T-S 20.167,Legal document,First decade of Elul 1447,Seleucid,1136
20104,T-S 20.65,Legal document,23 Adar 5299,Anno Mundi,1539-02-11
20105,T-S 20.67,Letter,6 Tammuz 5398,Anno Mundi,1638-06-18
20108,T-S 20.73,Legal document,"Wednesday, 29 Kislev 1377",Seleucid,1065-11-30
20205,T-S Ar.19.5,State document,28 Rajab 1237,Hijrī,1822-04-20
20209,T-S Ar.19.9,Letter,538,Hijrī,1143-07-16/1144-07-03
20216,T-S Ar.20.2,Legal document,20 Jumādā I 412,Hijrī,1021-09-01
20231,T-S Ar.29.49,Legal document,6 Ḥeshvan 1446,Seleucid,1134-10-25
20241,T-S Ar.30.104,Credit instrument or private receipt,Dhū l-Qaʿda 433,Hijrī,1042-06-22/1042-07-21
20246,T-S Ar.30.109,State document,520,Hijrī,1126-01-27/1127-01-16
20327,T-S Ar.30.202,Legal document,1507,Seleucid,1195-09-07/1196-08-25
20354,T-S Ar.30.232 + T-S NS 83.19,List or table,spring 5310,Anno Mundi,1549-09-23/1550-09-10
20355,T-S Ar.30.233,List or table,5554,Anno Mundi,1793-09-07/1794-09-24
20404,T-S Ar.30.288,List or table,5452–57,Anno Mundi,1691/1697
20406,T-S Ar.30.29,List or table,439–40,Hijrī,1047/1049
20477,T-S Ar.30.87,Paraliterary text,22 Iyar 1565,Seleucid,1254
20499,T-S Ar.34.12,Legal document,4856,Anno Mundi,1095-09-03/1096-09-19
20502,T-S Ar.34.127,Legal document,501,Hijrī,1107-08-22/1108-08-10
20532,T-S Ar.34.225,State document,29 Jumādā II 556,Hijrī,1161-06-25
20541,T-S Ar.34.253,State document,Rajab 516,Hijrī,1122-09-05/1122-10-04
20551,T-S Ar.34.275,State document,430,Hijrī,1038-10-03/1039-09-22
20555,T-S Ar.34.286,Letter,Rabīʿ I 407,Hijrī,1016-08-08/1016-09-06
20578,T-S Ar.34.51,State document,"Thursday, 8 Rajab 627",Hijrī,1230-05-23
20581,T-S Ar.34.62,State document,Muḥarram 564,Hijrī,1168-10-05/1168-11-03
20589,T-S Ar.34.87,List or table,Rabīʿ II 958,Hijrī,1551-04-08/1551-05-06
20611,T-S Ar.35.162,State document,29 Dhū l-Qaʿda 404,Hijrī,1014-05-31
20618,T-S Ar.35.201,Credit instrument or private receipt,561,Hijrī,1165
20619,T-S Ar.35.204,State document,545,Hijrī,1150-04-30/1151-04-19
20622,T-S Ar.35.223,Legal document,694,Hijrī,1294-11-21/1295-11-09
20624,T-S Ar.35.227,Legal document,16 Jumādā I 644,Hijrī,1246-09-29
20646,T-S Ar.35.325,Credit instrument or private receipt,27 Muḥarram 498,Hijrī,1104-10-19
20647,T-S Ar.35.33,Letter,16 Dhu l-Qa’da 550,Hijrī,1156-01-11
20664,T-S Ar.35.39,List or table,Ramaḍān 556,Hijrī,1161-08-24/1161-09-22
20680,T-S Ar.35.45,Legal document,627,Hijrī,1229-11-20/1230-11-08
20683,T-S Ar.35.52,List or table,Shawwal 1012,Hijrī,1604-03-03/1604-03-31
20685,T-S Ar.35.55,State document,537,Hijrī,1142-07-27/1143-07-15
20688,T-S Ar.35.67,List or table,6[..],Hijrī,1203/1300
20701,T-S Ar.38.10,Legal document,15 Ramaḍān 484,Hijrī,1091-09-18/1091-10-16
20702,T-S Ar.38.101,Legal document,Jumādā I 434,Hijrī,1042-12-17/1043-01-15
20715,T-S Ar.38.127,Legal document,536–537,Hijrī,1141/1143
20720,T-S Ar.38.132,Legal document,28 Muḥarram 587,Hijrī,1191-02-25
20721,T-S Ar.38.133,Legal document,Ramaḍān 568,Hijrī,1173-04-16/1173-05-15
20722,T-S Ar.38.141 + T-S Ar.38.134,Legal document,Dhū l-Qaʿda 643,Hijrī,1285-03-09/1286-02-26
20732,T-S Ar.38.25,Legal document,Dhū l-Qaʿda 485,Hijrī,1092/1093
20734,T-S Ar.38.27,Legal document,25 Dhū l-Ḥijja 570,Hijrī,1175-07-17
20751,T-S Ar.38.54,Legal document,450,Hijrī,1058-02-28/1059-02-16
20767,T-S Ar.39.109,Legal document,684,Hijrī,1285-03-09/1286-02-26
20784,T-S Ar.39.150,Legal document,409/410,Hijrī,1018/1020
20785,T-S Ar.39.152,Paraliterary text,520,Hijrī,1126-01-27/1127-01-16
20788,T-S Ar.39.162,Letter,3 Ramaḍān 1166,Hijrī,1753-07-04
20790,T-S Ar.39.165,State document,524,Hijrī,1129-12-15/1130-12-03
20795,T-S Ar.39.178,Legal document,Jumādā II 520,Hijrī,1126-06-24/1126-07-22
20839,T-S Ar.39.247,Letter,947,Hijrī,1540-05-08/1541-04-26
20842,T-S Ar.39.25,Legal document,10 Rabīʿ II 508,Hijrī,1114-09-13
20871,T-S Ar.39.288,State document,Shawwāl 622,Hijrī,1225-10-06/1225-11-03
20879,T-S Ar.39.31,Legal document,551,Hijrī,1156-02-25/1157-02-12
20906,T-S Ar.39.364,State document,516,Hijrī,1122-03-12/1123-02-28
20920,T-S Ar.39.386,Letter,7 Rabīʿ I 644,Hijrī,1246-07-23
20924,T-S Ar.39.394,State document,2 Shaʿbān 537,Hijrī,1143-02-20
20934,T-S Ar.39.416,Legal document,633,Hijrī,1235-09-16/1236-09-03
20962,T-S Ar.39.471,Letter,1024,Hijrī,1615-01-31/1616-01-19
20967,T-S Ar.39.481,State document,Ṣafar 548,Hijrī,1153-04-28/1153-05-26
20978,T-S Ar.39.495,List or table,1286,Hijrī,1869-04-13/1870-04-02
20979,T-S Ar.39.496,Legal document,14 Rabīʿ I 934,Hijrī,1527-12-08
20982,T-S Ar.39.499,List or table,Muharram 1233,Hijrī,1817-11-11/1817-12-10
20987,T-S Ar.39.503,Legal document,955,Hijrī,1548-02-11/1549-01-29
21009,T-S Ar.39.82,State document,525,Hijrī,1130-12-04/1131-11-22
21010,T-S Ar.39.88,Legal document,575,Hijrī,1179-06-08/1180-05-27
21018,T-S Ar.4.1,Legal document,154[.],Seleucid,1228-09-02/1238-09-10
21021,T-S Ar.40.100,Legal document,3 Rajab 876,Hijrī,1471-12-16
21022,T-S Ar.40.106,State document,Jumādā I 539,Hijrī,1144-10-30/1144-11-28
21025,T-S Ar.40.118,State document,675,Hijrī,1276-06-15/1277-06-03
21039,T-S Ar.40.21,Legal document,793,Hijrī,1390-12-09/1391-11-28
21056,T-S Ar.41.101,Legal document,10 Ṣafar 627,Hijrī,1229-12-29
21058,T-S Ar.41.111,Legal document,532,Hijrī,1137-09-19/1138-09-07
21059,T-S Ar.41.112,Legal document,13 Shaʿbān 546,Hijrī,1151-11-25
21061,T-S Ar.41.126,Legal document,20 Shawwāl 741,Hijrī,1341-04-08
21063,T-S Ar.41.16,Legal document,25 Shaʿbān 487,Hijrī,1094-09-09
21064,T-S Ar.41.17,Legal document,4 Rajab 596,Hijrī,1200-04-20
21065,T-S Ar.41.19,Letter,5 Shawwal 1214,Hijrī,1800-03-02
21066,T-S Ar.41.2,State document,10 Rajab 997,Hijrī,1589-05-25
21070,T-S Ar.41.54,Legal document,Rabīʿ I 1032,Hijrī,1623-01-03/1623-02-01
21072,T-S Ar.41.68,Legal document,20 Shaʿbān 441,Hijrī,1050-01-17
21076,T-S Ar.41.77,Legal document,Dhū l-Ḥijja 504,Hijrī,1111-06-10/1111-07-09
21077,T-S Ar.41.82,Legal document,12 Ṣafar 499,Hijrī,1105-10-24
21079,T-S Ar.41.85,Legal document,5 Jumādā I 556,Hijrī,1161-05-02
21082,T-S Ar.41.91,Legal document,554,Hijrī,1159-01-23/1160-01-11
21083,T-S Ar.41.95,Legal document,571,Hijrī,1175-07-22/1176-07-09
21085,T-S Ar.42.102,Legal document,23 Rajab 596,Hijrī,1200-05-09
21089,T-S Ar.42.113,Legal document,17 Rajab 531,Hijrī,1137-04-10
21090,T-S Ar.42.116,Legal document,962,Hijrī,1554-11-26/1555-11-15
21092,T-S Ar.42.120,Legal document,18 Shawwāl 549,Hijrī,1154-12-26
21094,T-S Ar.42.122,Legal document,Saturday 20 Rajab 550,Hijrī,1155-09-19
21102,T-S Ar.42.133,Literary text,522–73,Hijrī,1128/1178
21104,T-S Ar.42.140,Legal document,529,Hijrī,1134-10-22/1135-10-10
21107,T-S Ar.42.149,Legal document,525,Hijrī,1130-12-04/1131-11-22
21108,T-S NS 327.117 + T-S Ar.42.150,Letter,first third of Ramaḍān 54[.],Hijrī,1146/1154
21111,T-S Ar.42.157,Legal document,Dhū l-Qaʿda 537,Hijrī,1143-05-18/1143-06-16
21114,T-S Ar.42.161,Legal document,Shaʿbān 533,Hijrī,1139-04-03/1139-05-01
21116,T-S Ar.42.163,Legal document,569,Hijrī,1173-08-12/1174-08-01
21120,T-S Ar.42.170,Legal document,Dhū l-Qaʿda 543,Hijrī,1149-03-13/1149-04-11
21124,T-S Ar.42.178,Legal document,Jumādā II 636,Hijrī,1239-01-09/1239-02-06
21127,T-S Ar.42.184,Legal document,21 Rajab 1023,Hijrī,1614-08-27
21142,T-S Ar.42.210,Letter,Beginning of Rabīʿ I 648,Hijrī,1250-06
21147,T-S Ar.42.215,Legal document,24 Rabīʿ I 997,Hijrī,1589-02-10
21162,T-S Ar.42.80,Legal document,first decade of Rabīʿ I 486,Hijrī,1093-04-01/1093-04-10
21165,T-S Ar.42.88,State document,601,Hijrī,1204-08-29/1205-08-17
21181,T-S Ar.47.186,Letter,26 Shevat 5567,Anno Mundi,1807-02-04
21187,T-S Ar.47.244,Legal document,1358,Seleucid,1046/1047
21188,T-S Ar.47.70,Legal document,3 Tishrei 1526,Seleucid,1214-09
21191,T-S Ar.48.117,Legal document,26 Tevet 154[0]/154[9],Seleucid,1228/1238
21222,T-S Ar.50.47,Legal document,[14]26,Seleucid,1114-09-03/1115-09-20
21232,T-S Ar.50.86,Legal document,Shevaṭ 1394,Seleucid,1082-12-24/1083-01-22
21233,T-S Ar.50.88,Legal document,594,Hijrī,1197-11-13/1198-11-02
21234,T-S Ar.50.90,Legal document,"Sunday, 16 Heshvan 1456",Seleucid,1144-10-15
21236,T-S Ar.51.105,Legal document,15 Dhū l-Qaʿda 924,Hijrī,1518-11-18
21238,T-S Ar.51.109,Legal document,11 Shaʿbān 805,Hijrī,1403-03-06
21239,T-S Ar.51.113 + T-S Ar.51.103,Legal document,"Thursday, 9 Elul 1428",Seleucid,1117-08-09
21240,T-S Ar.51.53,Legal document,"Wednesday, 24 Iyyar 1437",Seleucid,1126-05-19
21252,T-S Ar.52.214,List or table,Ḥeshvan 1556,Seleucid,1244
21255,T-S Ar.53.27,Legal document,1481,Seleucid,1169/1170
21259,T-S Ar.53.49,Legal document,Dhū l-Qaʿda 450,Hijrī,1058/1059
21264,T-S Ar.53.72,Letter,47[.],Hijrī,1077/1086
21331,T-S AS 145.111,Legal document,5462,Anno Mundi,1701-10-03/1702-09-22
21351,T-S AS 145.160,Legal document,"Friday, 3 Shevaṭ 1602",Seleucid,1291-01-05
21374,T-S AS 145.222,Legal document,"Friday, 5 Shevaṭ 5346",Anno Mundi,1586-01-24
21389,T-S AS 145.259,Legal document,1598,Seleucid,1286-09-21/1287-09-10
21418,T-S AS 145.318,Legal document,Ṭevet 1428,Seleucid,1116/1117
21464,T-S AS 145.90 + T-S AS 145.97,Legal document,"Friday, 18 Tammuz 5319",Anno Mundi,1559-06-23
21471,T-S NS 292.79 + T-S AS 146.104 + T-S AS 146.283 + T-S AS 147.159,Legal document,Ṭevet 5319,Anno Mundi,1558-12-11/1559-01-08
21508,T-S AS 146.212,Legal document,1437,Seleucid,1125-08-31/1126-09-19
21512,T-S AS 146.230,Paraliterary text,1983,Seleucid,1671-09-05/1672-09-21
21518,T-S AS 146.244,Legal document,"Tuesday, 9 Tammuz 5422",Anno Mundi,1662-06-26
21521,T-S AS 146.25,Legal document,"Tuesday, 17 Nisan 5338",Anno Mundi,1578-03-25
21561,T-S AS 146.364,Legal document,28 Tammuz 5561,Anno Mundi,1801-07-09
21718,T-S AS 147.84,Legal document,1552,Seleucid,1241
21735,T-S AS 148.119,Legal document,5314,Anno Mundi,1553-09-09/1554-08-27
21759,T-S AS 148.32,Legal document,27 Shevaṭ 1282,Seleucid,971-01-26
21760,T-S AS 148.39,Legal document,Tishrei 1334,Seleucid,1022-09
21765,T-S AS 148.62,Legal document,1 Adar 5522,Anno Mundi,1762-02-24
21772,T-S AS 148.79,Legal document,1 Av 5279,Anno Mundi,1519-06-29
21775,T-S AS 148.89,Legal document,1443,Seleucid,1132
21805,T-S AS 149.169,Legal document,5295,Anno Mundi,1534-09-10/1535-08-29
21865,T-S AS 150.107 + T-S AS 150.206,Legal document,5292,Anno Mundi,1531-09-12/1532-08-30
21924,T-S AS 150.41,Legal document,1522,Seleucid,1210-09-20/1211-09-09
21936,T-S AS 151.104,Legal document,Kislev 5286,Anno Mundi,1525-11-17/1525-12-16
21937,T-S AS 151.118,Legal document,4846,Anno Mundi,1085-09-22/1086-09-11
21954,T-S AS 151.165,Paraliterary text,Ḥeshvan 4802,Anno Mundi,1041-09-30/1041-10-28
21957,T-S AS 151.177,Legal document,Sivan 53[..],Anno Mundi,1540/1639
22014,T-S AS 151.47,Legal document,4775,Anno Mundi,1014-08-28/1015-09-16
22041,T-S AS 152.127,Legal document,"Thursday, 25 Adar 1770",Seleucid,1459-03-01
22047,T-S NS 288.185 + T-S AS 152.160,Legal document,Kislev 5480,Anno Mundi,1719-11-13/1719-12-12
22079,T-S AS 152.276,Legal document,Iyyar 5032,Anno Mundi,1272-04-02/1272-04-30
22117,T-S AS 152.373,Legal document,1425,Seleucid,1113-09-13/1114-09-02
22137,T-S AS 152.400,Legal document,[1]420,Seleucid,1109
22157,T-S AS 152.56,List or table,"השע""ד",Anno Mundi,1613
22161,T-S AS 152.71,Letter,26 Iyyar 5454,Anno Mundi,1694-05-21
22214,T-S AS 153.273,Legal document,1502,Seleucid,1190-09-03/1191-09-20
22254,T-S AS 153.370,Legal document,1474,Seleucid,1173
22428,T-S AS 159.167,Paraliterary text,Kislev 1644,Seleucid,1331
22431,T-S AS 159.170,Legal document,[14]81,Seleucid,1169-09-23/1170-09-11
22444,T-S AS 159.230,Legal document,Kislev 1436,Seleucid,1124
22446,T-S AS 159.239,List or table,1463/4,Seleucid,1152/1153
22531,T-S AS 176.481,Legal document,416,Hijrī,1025-03-04/1026-02-21
22534,T-S AS 177.175,State document,27 Ramaḍān 405,Hijrī,1015-03-21
22535,T-S AS 177.486,Legal document,Shawwāl 899,Hijrī,1494-07-05/1494-08-02
22544,T-S AS 181.113,List or table,443,Hijrī,1051-05-15/1052-05-02
22587,T-S AS 200.124,Legal document,4870,Anno Mundi,1109-08-28/1110-09-16
22601,T-S AS 200.251,Letter,26 Heshvan 5580,Anno Mundi,1819-11-14
22654,T-S AS 202.243,List or table,Rabīʿ II 953,Hijrī,1546-06-01/1546-06-29
22672,T-S AS 202.364,Legal document,Adar II 17[..],Seleucid,1389-02-27/1488-04-10
22683,T-S AS 202.414,List or table,Rabīʿ I 982,Hijrī,1574-06-21/1574-07-20
22702,T-S AS 203.44,Letter,12 Heshvan 5346,Anno Mundi,1585-11-04
22766,T-S AS 207.143,List or table,Shaʿbān 1112,Hijrī,1701-01-11/1701-02-08
22775,T-S AS 207.31,List or table,11 Dhū l-Qaʿda 1221,Hijrī,1807-01-20
22790,T-S AS 209.262,Legal document,1 Shevaṭ 5313,Anno Mundi,1553-01-16
22792,T-S AS 209.274,Letter,Av 5567,Anno Mundi,1807-08-05/1807-09-03
22839,T-S AS 212.143,Legal document,1445,Seleucid,1133/1134
22853,T-S AS 214.10,Legal document,Kislev 5480,Anno Mundi,1719-11-13/1719-12-12
22858,T-S AS 214.145,Letter,5582,Anno Mundi,1821-09-27/1822-09-15
22863,T-S AS 214.240,Legal document,אתלא,Seleucid,1130
22942,T-S AS 222.233,Legal document,Last decade of Shevaṭ 1455,Seleucid,1134
22974,T-S AS 82.40,Legal document,Nisan 5362,Anno Mundi,1602-03-23/1602-04-21
23030,T-S 12.1 + T-S B12.39,State document,419,Hijrī,1028-01-31/1029-01-19
23059,T-S J1.18,List or table,5600,Anno Mundi,1839-09-09/1840-09-27
23062,T-S J1.20,List or table,11 Av 5502,Anno Mundi,1742-08-11
23082,T-S J1.46,List or table,9 Iyyar 1540,Seleucid,1229-05-11
23087,T-S J1.56,List or table,5554,Anno Mundi,1793-09-07/1794-09-24
23089,T-S J1.58,List or table,5554,Anno Mundi,1793-09-07/1794-09-24
23090,T-S J1.59,List or table,6 Shawwal 954,Hijrī,1547-11-19
23091,T-S J1.6,List or table,1004,Hijrī,1595-09-06/1596-08-24
23094,T-S J1.62,List or table,[5]324,Anno Mundi,1563-09-18/1564-09-06
23117,T-S J2.29,Legal document,Iyyar 5465,Anno Mundi,1705-04-25/1705-05-23
23176,T-S NS 211.1 + T-S J3.16,Legal document,4588,Anno Mundi,828
23184,T-S J3.24,Legal document,1485,Seleucid,1173-09-10/1174-08-28
23259,T-S Misc.10.15,Legal document,1435,Seleucid,1123-09-22/1124-09-10
23260,T-S Misc.10.155,Legal document,24 Sivan 1531,Seleucid,1220-05
23273,T-S Misc.10.74,Legal document,Kislev 5480,Anno Mundi,1719-11-13/1719-12-12
23283,T-S Misc.11.206,Letter,5572,Anno Mundi,1811-09-19/1812-09-06
23285,T-S Misc.11.225,Legal document,14 Adar 5365,Anno Mundi,1605-03-04
23288,T-S Misc.11.29,List or table,Dhū l-Qaʿda 1239,Hijrī,1824-06-28/1824-07-27
23294,T-S Misc.20.100,Legal document,"Thursday, 24 Ṭevet 1477",Seleucid,1165-12-30
23333,T-S Misc.23.8,Legal document,Ṭevet 1438,Seleucid,1126/1127
23339,T-S Misc.24.187,Letter,16 Heshvan 5327,Anno Mundi,1566-10-29
23345,T-S Misc.25.105,Letter,2 Nisan 1551,Seleucid,1240-03-26
23348,T-S Misc.25.122,Legal document,"Sunday, 9 Iyyar 1559",Seleucid,1248-05-03
23357,T-S Misc.25.63,Legal document,1 Ṭevet 1500,Seleucid,1188-12-23
23365,T-S Misc.25.89,Legal document,[14]59,Seleucid,1147-08-28/1148-09-15
23384,T-S Misc.27.4.22,Legal document,25 Tishrei 1607,Seleucid,1295-10-06
23398,T-S Misc.28.153,Legal document,13 Adar I 1337,Seleucid,1026-02-03
23416,T-S Misc.28.238,Legal document,494,Hijrī,1100-11-06/1101-10-25
23430,T-S Misc.28.56,Legal document,"Thursday, 9 Adar 1373",Seleucid,1062-02-21
23432,T-S Misc.28.149 + T-S Misc.28.58,Letter,1468,Seleucid,1156-09-17/1157-09-06
